t,abad_deg,mcp_deg,pip_deg
0.000000,-30.445981,20.560521,0.426665
0.005000,-30.446863,20.561088,0.426506
0.010000,-30.447730,20.561718,0.426252
0.015000,-30.448580,20.562373,0.425944
0.020000,-30.449414,20.563038,0.425611
0.025000,-30.450230,20.563702,0.425295
0.030000,-30.451029,20.564354,0.425070
0.035000,-30.451811,20.564994,0.424999
0.040000,-30.452579,20.565621,0.425083
0.045000,-30.453331,20.566236,0.425417
0.050000,-30.454068,20.566837,0.426007
0.055000,-30.454792,20.567426,0.426915
0.060000,-30.455499,20.568003,0.428143
0.065000,-30.456193,20.568568,0.429749
0.070000,-30.456872,20.569122,0.431732
0.075000,-30.457538,20.569665,0.434201
0.080000,-30.458190,20.570196,0.437363
0.085000,-30.458832,20.570715,0.441563
0.090000,-30.459461,20.571224,0.447182
0.095000,-30.460076,20.571720,0.454676
0.100000,-30.460680,20.572205,0.464484
0.105000,-30.461271,20.572680,0.477066
0.110000,-30.461851,20.573143,0.492832
0.115000,-30.462418,20.573595,0.512205
0.120000,-30.462975,20.574038,0.535549
0.125000,-30.463521,20.574470,0.563228
0.130000,-30.464054,20.574891,0.595551
0.135000,-30.464577,20.575305,0.632834
0.140000,-30.465089,20.575708,0.675344
0.145000,-30.465591,20.576102,0.723348
0.150000,-30.466083,20.576488,0.777067
0.155000,-30.466564,20.576865,0.836740
0.160000,-30.467039,20.577234,0.902561
0.165000,-30.467503,20.577594,0.974744
0.170000,-30.467958,20.577948,1.053466
0.175000,-30.468402,20.578293,1.138909
0.180000,-30.468839,20.578631,1.231223
0.185000,-30.469266,20.578962,1.330560
0.190000,-30.469686,20.579287,1.437042
0.195000,-30.470095,20.579604,1.550806
0.200000,-30.470498,20.579915,1.671962
0.205000,-30.470895,20.580219,1.800620
0.210000,-30.471280,20.580516,1.936813
0.215000,-30.471660,20.580808,2.080690
0.220000,-30.472032,20.581093,2.232325
0.225000,-30.472397,20.581373,2.391790
0.230000,-30.472752,20.581648,2.559100
0.235000,-30.473101,20.581918,2.734326
0.240000,-30.473442,20.582183,2.917467
0.245000,-30.473777,20.582442,3.108570
0.250000,-30.474105,20.582697,3.307635
0.255000,-30.474429,20.582946,3.514683
0.260000,-30.474747,20.583190,3.729712
0.265000,-30.475058,20.583431,3.952710
0.270000,-30.475362,20.583666,4.183676
0.275000,-30.475659,20.583899,4.422563
0.280000,-30.475949,20.584126,4.669372
0.285000,-30.476236,20.584349,4.924025
0.290000,-30.476516,20.584570,5.186504
0.295000,-30.476789,20.584787,5.456730
0.300000,-30.477059,20.585000,5.734683
0.305000,-30.477322,20.585210,6.020252
0.310000,-30.477581,20.585417,6.313412
0.315000,-30.477834,20.585620,6.614038
0.320000,-30.478083,20.585820,6.922060
0.325000,-30.478326,20.586018,7.237391
0.330000,-30.478565,20.586212,7.559939
0.335000,-30.478797,20.586404,7.889601
0.340000,-30.479026,20.586593,8.226272
0.345000,-30.479251,20.586781,8.569856
0.350000,-30.479470,20.586965,8.920252
0.355000,-30.479685,20.587148,9.277343
0.360000,-30.479897,20.587329,9.641012
0.365000,-30.480105,20.587508,10.011139
0.370000,-30.480307,20.587684,10.387604
0.375000,-30.480505,20.587858,10.770282
0.380000,-30.480699,20.588031,11.159049
0.385000,-30.480891,20.588203,11.553763
0.390000,-30.481078,20.588374,11.954284
0.395000,-30.481263,20.588543,12.360493
0.400000,-30.481440,20.588710,12.772271
0.405000,-30.481615,20.588876,13.189482
0.410000,-30.481785,20.589042,13.611993
0.415000,-30.481953,20.589206,14.039671
0.420000,-30.482117,20.589368,14.472382
0.425000,-30.482277,20.589530,14.909985
0.430000,-30.482434,20.589691,15.352343
0.435000,-30.482588,20.589851,15.799322
0.440000,-30.482738,20.590012,16.250792
0.445000,-30.482888,20.590170,16.706615
0.450000,-30.483035,20.590329,17.166656
0.455000,-30.483179,20.590488,17.630779
0.460000,-30.483319,20.590645,18.098856
0.465000,-30.483455,20.590802,18.570758
0.470000,-30.483588,20.590959,19.046363
0.475000,-30.483718,20.591116,19.525535
0.480000,-30.483845,20.591274,20.008144
0.485000,-30.483971,20.591431,20.494065
0.490000,-30.484094,20.591588,20.983176
0.495000,-30.484213,20.591745,21.475353
0.500000,-30.484330,20.591902,21.970471
0.505000,-30.484442,20.592059,22.468406
0.510000,-30.484555,20.592216,22.969040
0.515000,-30.484664,20.592373,23.472258
0.520000,-30.484770,20.592532,23.977949
0.525000,-30.484876,20.592691,24.485999
0.530000,-30.484978,20.592850,24.996298
0.535000,-30.485077,20.593008,25.508728
0.540000,-30.485173,20.593169,26.023180
0.545000,-30.485269,20.593329,26.539545
0.550000,-30.485361,20.593490,27.057724
0.555000,-30.485450,20.593652,27.577609
0.560000,-30.485538,20.593814,28.099101
0.565000,-30.485624,20.593977,28.622099
0.570000,-30.485709,20.594140,29.146514
0.575000,-30.485791,20.594304,29.672241
0.580000,-30.485870,20.594470,30.199190
0.585000,-30.485948,20.594636,30.727269
0.590000,-30.486023,20.594803,31.256394
0.595000,-30.486099,20.594970,31.786474
0.600000,-30.486170,20.595139,32.317423
0.605000,-30.486239,20.595308,32.849153
0.610000,-30.486307,20.595479,33.381583
0.615000,-30.486372,20.595650,33.914635
0.620000,-30.486437,20.595822,34.448230
0.625000,-30.486498,20.595997,34.982289
0.630000,-30.486560,20.596171,35.516741
0.635000,-30.486618,20.596347,36.051504
0.640000,-30.486676,20.596523,36.586509
0.645000,-30.486730,20.596700,37.121682
0.650000,-30.486785,20.596879,37.656950
0.655000,-30.486836,20.597059,38.192249
0.660000,-30.486887,20.597240,38.727511
0.665000,-30.486935,20.597422,39.262670
0.670000,-30.486983,20.597605,39.797661
0.675000,-30.487027,20.597790,40.332421
0.680000,-30.487072,20.597976,40.866886
0.685000,-30.487116,20.598162,41.401000
0.690000,-30.487157,20.598350,41.934701
0.695000,-30.487198,20.598539,42.467927
0.700000,-30.487236,20.598729,43.000620
0.705000,-30.487273,20.598920,43.532723
0.710000,-30.487308,20.599113,44.064187
0.715000,-30.487342,20.599308,44.594954
0.720000,-30.487376,20.599502,45.124970
0.725000,-30.487407,20.599699,45.654183
0.730000,-30.487437,20.599897,46.182539
0.735000,-30.487465,20.600095,46.709984
0.740000,-30.487492,20.600294,47.236468
0.745000,-30.487519,20.600496,47.761939
0.750000,-30.487543,20.600697,48.286347
0.755000,-30.487567,20.600901,48.809645
0.760000,-30.487591,20.601104,49.331782
0.765000,-30.487611,20.601309,49.852711
0.770000,-30.487632,20.601515,50.372382
0.775000,-30.487652,20.601722,50.890749
0.780000,-30.487670,20.601930,51.407767
0.785000,-30.487687,20.602140,51.923382
0.790000,-30.487704,20.602350,52.437548
0.795000,-30.487717,20.602562,52.950215
0.800000,-30.487731,20.602774,53.461359
0.805000,-30.487745,20.602987,53.970919
0.810000,-30.487755,20.603201,54.478846
0.815000,-30.487765,20.603416,54.985089
0.820000,-30.487775,20.603631,55.489604
0.825000,-30.487782,20.603848,55.992344
0.830000,-30.487789,20.604065,56.493256
0.835000,-30.487796,20.604283,56.992294
0.840000,-30.487803,20.604502,57.489409
0.845000,-30.487806,20.604722,57.984556
0.850000,-30.487810,20.604942,58.477682
0.855000,-30.487813,20.605164,58.968739
0.860000,-30.487816,20.605386,59.457678
0.865000,-30.487816,20.605608,59.944445
0.870000,-30.487816,20.605832,60.428999
0.875000,-30.487816,20.606056,60.911286
0.880000,-30.487816,20.606279,61.391257
0.885000,-30.487813,20.606505,61.868851
0.890000,-30.487810,20.606730,62.344027
0.895000,-30.487806,20.606956,62.816724
0.900000,-30.487803,20.607183,63.286894
0.905000,-30.487796,20.607410,63.754482
0.910000,-30.487789,20.607637,64.219433
0.915000,-30.487782,20.607864,64.681687
0.920000,-30.487775,20.608091,65.141194
0.925000,-30.487769,20.608320,65.597895
0.930000,-30.487758,20.608549,66.051727
0.935000,-30.487748,20.608778,66.502635
0.940000,-30.487738,20.609006,66.950559
0.945000,-30.487728,20.609235,67.395437
0.950000,-30.487717,20.609464,67.837200
