duration, joint_1                  , joint_2
2.0     , 0.0                      , 0.0
7.0     , 0.0                      , 0.0
-1      , 팔짱 [9.0 sec]

3.0     , 0.0                      , 0.0
-1      , 손목 털기 [3.0 sec]

3.0     , 0.0                      , 55.0
0.5     , 0.0                      , 55.0
1.5     , 0.0                      , 65.0
1.0     , 0.0                      , 55.0
-1      , 왼팔 스트레칭 [6.0 sec]

3.5     , 0.0                      , -55.0
0.5     , 0.0                      , -55.0
1.5     , 0.0                      , -65.0
1.0     , 0.0                      , -55.0
-1      , 오른팔 스트레칭 [6.5 sec]

2.2     , 0.0                      , 0.0

1.6     , 0.0                      , 0.0
0.76    , 23.75                    , 10.0
0.56    , 23.75                    , -10.0
0.56    , 23.75                    , 10.0
0.56    , 23.75                    , -10.0
0.66    , 23.75                    , 10.0
-1      , 스프린트 모션

3.0     , 25.0                     , 0.0

2.0     , 30.0                     , 0.0
-1      , 가슴 앞에 손 모으기

2.5     , 30.0                     , 0.0
-1      , 박수 치기
